ID,Epic,User Story,Value (1-5),Risk Reduction (1-5),Effort (1-5),Priority Score,Acceptance Criteria,Owner,Status,Target
B001,Governance & Operating Model,"As a product team, we want a published governance charter so that decision rights and responsibilities are clear.",5,4,2,7,"Charter published; RACI agreed; decision rights documented.",M365 Team,Planned,Now
B002,Governance & Operating Model,"As a service owner, we want an intake and triage workflow so that all work is tracked and prioritised consistently.",5,3,2,6,"Intake channels defined; triage categories defined; backlog updated weekly.",M365 Team,Planned,Now
B003,Governance & Operating Model,"As a product manager, we want backlog scoring so that prioritisation is transparent and repeatable.",4,3,1,6,"Value/Risk/Effort scoring used on all new items; priority bands defined.",M365 Team,Planned,Now
B004,Standards & Guidelines,"As a user, I want a clear Teams/Site naming standard so that content is searchable and manageable.",4,3,1,6,"Naming format published; examples provided; provisioning follows naming rules.",M365 Team,Planned,Now
B005,Standards & Guidelines,"As an owner, I want lifecycle rules so that Teams/Sites have clear ownership and review cadence.",4,4,2,6,"Owners required; 6-month reviews defined; archive rules defined.",M365 Team,Planned,Now
B006,External Sharing,"As a security stakeholder, I want limited-by-default guest access so that external collaboration is controlled.",4,5,3,6,"Workflow documented; expiry policy defined; approvals recorded.",M365 Team,Planned,Now
B007,Information Protection,"As an employee, I want sensitivity labels so that I can classify documents and apply appropriate protection.",4,5,3,6,"Label taxonomy defined; labels visible in apps; guidance published.",M365 Team,Planned,Now
B008,DLP & Compliance,"As a compliance stakeholder, I want a DLP starter policy so that accidental leakage is reduced.",4,5,4,5,"Pilot created; policy tips enabled; monitoring/reporting defined.",M365 Team,Planned,Now
B009,Adoption & Communication,"As a user, I want simple guidance so that I know when to use Teams vs SharePoint vs OneDrive safely.",4,3,2,5,"One-page guide published; examples included; referenced in onboarding.",M365 Team,Planned,Now
B010,Operational Runbooks,"As support staff, we want an incident runbook so that incidents are handled consistently and quickly.",4,4,2,6,"Runbook includes triage, escalation, comms, PIR; stored in repo.",Service Desk + M365,Planned,Now
B011,Operational Runbooks,"As change coordinators, we want a change runbook so that governance changes are safe and reversible.",4,4,2,6,"CAB-lite process defined; comms template; rollback plan required.",M365 Team,Planned,Now
B012,Governance KPIs,"As a product team, we want KPI reporting so that adoption, incidents, and exceptions can be monitored.",3,4,3,4,"KPI definitions agreed; monthly review cadence; first report produced.",M365 Team,Planned,Next
B013,Guest Reviews,"As a security stakeholder, we want periodic guest access reviews so that guest sprawl is reduced.",3,5,3,5,"Review cadence defined; owners notified; removals tracked.",M365 Team,Planned,Next
B014,Ownership Reviews,"As a product team, we want owners reviewed every 6 months so that responsibilities remain current.",3,4,2,5,"Owner review process documented; reminders scheduled; exceptions tracked.",M365 Team,Planned,Next
B015,DLP Tuning,"As a product team, we want a tuning plan so that DLP false positives are reduced.",3,4,2,5,"Weekly review; documented adjustments; measured reduction in noise.",M365 Team,Planned,Next
B016,External Sharing Exceptions,"As a product team, we want an exception process so that justified deviations are controlled and time-bound.",3,5,2,6,"Exception template; approval path; expiry date required.",M365 Team,Planned,Next
B017,Templates,"As an admin team, we want provisioning templates so that Teams/Sites are created consistently.",3,4,3,4,"Template documented; includes naming, owners, baseline settings.",M365 Team,Planned,Next
B018,Training for Owners,"As an owner, I want short training so that I understand guest access, labels, and reviews.",3,3,2,4,"30-min module; checklist; completion tracked.",M365 Team,Planned,Next
B019,Audit & Monitoring,"As security, we want monitoring of external sharing events so that risky behaviour is detected.",3,5,4,4,"Key events defined; reporting cadence; escalation triggers.",Security + M365,Planned,Later
B020,Dashboards,"As leadership, we want a dashboard so that governance KPIs are visible at a glance.",2,3,4,1,"Metrics defined; dashboard built; reviewed quarterly.",M365 Team,Planned,Later
